Nachname;Vorname;Geburtsdatum;Geburtsort;Sterbedatum;Geschlecht;Partei;Familienstand;Religion;Beruf;md_start;md_end
Skudelny;Judith;02.10.1975;Stuttgart;None;weiblich;FDP;verheiratet, 2 Kinder;ohne Angaben;Rechtsanwältin;24.10.2017;None
Steffel;Frank;02.03.1966;Berlin;None;männlich;CDU;verheiratet, 2 Kinder;evangelisch;Diplom-Kaufmann, Unternehmer;24.10.2017;None
Steffen;Sonja Amalie;22.10.1963;Dreiborn bei Schleiden;None;weiblich;SPD;3 Kinder;katholisch;Rechtsanwältin;24.10.2017;None
Stier;Dieter;29.06.1964;Weißenfels;None;männlich;CDU;ledig;{'-self-closing': 'true'};Diplom-Agraringenieur;24.10.2017;None
Stracke;Stephan;01.04.1974;Marktoberdorf;None;männlich;CSU;verheiratet, 3 Kinder;römisch-katholisch;Jurist;24.10.2017;None
Strenz;Karin;14.10.1967;Lübz;None;weiblich;CDU;verheiratet;evangelisch-lutherisch;Sonderschullehrerin;24.10.2017;None
Tack;Kerstin;11.11.1968;Wittingen;None;weiblich;SPD;{'-self-closing': 'true'};{'-self-closing': 'true'};Diplom-Sozialpädagogin;24.10.2017;None
Tauber;Peter;22.08.1974;Frankfurt am Main;None;männlich;CDU;ledig;evangelisch;Historiker, Parl. Staatssekretär;24.10.2017;None
Thomae;Stephan;19.06.1968;Kempten (Allgäu);None;männlich;FDP;verheiratet, 3 Kinder;römisch-katholisch;Rechtsanwalt;24.10.2017;None
Tressel;Markus;17.04.1977;Saarlouis;None;männlich;BÜNDNIS 90/DIE GRÜNEN;verheiratet, 2 Kinder;{'-self-closing': 'true'};Landesgeschäftsführer;24.10.2017;None
Vogel;Johannes;29.04.1982;Wermelskirchen;None;männlich;FDP;verheiratet;evangelisch;Politikwissenschaftler;24.10.2017;None
Vogler;Kathrin;29.09.1963;München;None;weiblich;DIE LINKE.;{'-self-closing': 'true'};{'-self-closing': 'true'};Geschäftsführerin;24.10.2017;None
Wadephul;Johann David;10.02.1963;Husum;None;männlich;CDU;verheiratet, 3 Kinder;evangelisch;Rechtsanwalt;24.10.2017;None
Wagenknecht;Sahra;16.07.1969;Jena;None;weiblich;DIE LINKE.;verheiratet;{'-self-closing': 'true'};Autorin;24.10.2017;None
Wagner;Daniela;04.04.1957;Darmstadt;None;weiblich;BÜNDNIS 90/DIE GRÜNEN;verheiratet, 1 Kind;konfessionslos;Geschäftsführerin;24.10.2017;None
Weinberg;Harald;13.02.1957;Bad Godesberg;None;männlich;DIE LINKE.;{'-self-closing': 'true'};{'-self-closing': 'true'};Bildungsberater;24.10.2017;None
Weiss;Sabine;26.05.1958;Duisburg;None;weiblich;CDU;geschieden;römisch-katholisch;Rechtsanwältin, Bürgermeisterin a. D., Parl. Staatssekretärin;24.10.2017;None
Werner;Katrin;25.05.1973;Berlin;None;weiblich;DIE LINKE.;1 Kind;{'-self-closing': 'true'};Kauffrau im Einzelhandel;24.10.2017;None
Ziegler;Dagmar;28.09.1960;Leipzig;None;weiblich;SPD;2 Kinder;{'-self-closing': 'true'};Vizepräsidentin DBT, Ministerin a. D., Diplom-Finanzökonomin;24.10.2017;None
Zimmer;Matthias;03.05.1961;Marburg/Lahn;None;männlich;CDU;verheiratet, 2 Kinder;römisch-katholisch;Professor, Hochschullehrer;24.10.2017;None
Ebner;Harald;08.07.1964;Göppingen;None;männlich;BÜNDNIS 90/DIE GRÜNEN;verheiratet, 2 Kinder;{'-self-closing': 'true'};Diplom-Agraringenieur, Landschaftsökologe;24.10.2017;None
Lindner;Tobias;11.01.1982;Karlsruhe;None;männlich;BÜNDNIS 90/DIE GRÜNEN;keine Angaben;ohne Angaben;Technischer Diplom-Volkswirt;24.10.2017;None
Walter-Rosenheimer;Beate;20.11.1964;Weißenburg;None;weiblich;BÜNDNIS 90/DIE GRÜNEN;5 Kinder;{'-self-closing': 'true'};Diplom-Psychologin;24.10.2017;None
Todtenhausen;Manfred;08.12.1950;Wuppertal;None;männlich;FDP;verheiratet, 1 Kind;ohne Angaben;Elektromeister, Geschäftsführer;24.10.2017;None
Hellmich;Wolfgang;05.05.1958;Welver-Meyerich;None;männlich;SPD;verheiratet, 3 Kinder;evangelisch;Geschäftsführer;24.10.2017;None
Reinhold;Hagen;23.03.1978;Wismar;None;männlich;FDP;3 Kinder;konfessionslos;Meister im Maurer- und Betonbauerhandwerk;24.10.2017;None
