Nachname;Vorname;Geburtsdatum;Geburtsort;Sterbedatum;Geschlecht;Partei;Familienstand;Religion;Beruf;md_start;md_end
Rosemann;Martin;20.10.1976;Saulgau;None;männlich;SPD;verheiratet, 1 Kind;römisch-katholisch;Diplom-Volkswirt;24.10.2017;None
Rüffer;Corinna;11.10.1975;Osnabrück;None;weiblich;BÜNDNIS 90/DIE GRÜNEN;ledig, 1 Kind;{'-self-closing': 'true'};Poltikerin;24.10.2017;None
Rüthrich;Susann;21.07.1977;Meißen/Sachsen;None;weiblich;SPD;verheiratet, 3 Kinder;ohne Angaben;Politologin;24.10.2017;None
Rützel;Bernd;02.10.1968;Gemünden a.Main;None;männlich;SPD;verheiratet, 2 Kinder;römisch-katholisch;TOAR a.D. bei der Deutschen Bahn AG;24.10.2017;None
Saathoff;Johann;09.12.1967;Emden;None;männlich;SPD;verheiratet, 5 Kinder;evangelisch-lutherisch;Diplom-Verwaltungswirt (FH);24.10.2017;None
Schauws;Ulle;30.04.1966;Hüls (jetzt Krefeld);None;weiblich;BÜNDNIS 90/DIE GRÜNEN;keine Angaben;religionslos;Medienwissenschaftlerin;24.10.2017;None
Scheer;Nina;11.09.1971;Berlin;None;weiblich;SPD;ledig, 1 Kind;{'-self-closing': 'true'};Geschäftsführerin;24.10.2017;None
Schiefner;Udo;07.08.1959;Kempen;None;männlich;SPD;verheiratet, 1 Kind;{'-self-closing': 'true'};Qualitätstechniker, Leiter Qualitätssicherheit;24.10.2017;None
Schimke;Jana;06.09.1979;Cottbus;None;weiblich;CDU;ledig, 2 Kinder;{'-self-closing': 'true'};Politologin;24.10.2017;None
Schmidt;Dagmar;13.03.1973;Gießen;None;weiblich;SPD;1 Kind;ohne Angaben;Historikerin;24.10.2017;None
Schulte;Ursula;09.08.1952;Alstätte (jetzt Ahaus);None;weiblich;SPD;verheiratet, 2 Kinder;römisch-katholisch;Hausfrau;24.10.2017;None
Schulz-Asche;Kordula;31.12.1956;Berlin-Spandau;None;weiblich;BÜNDNIS 90/DIE GRÜNEN;verheiratet, 1 Kind;evangelisch;Krankenschwester, Kommunikationswissenschaftlerin;24.10.2017;None
Schulze;Klaus-Peter;03.07.1954;Döbern;None;männlich;CDU;verheiratet, 3 Kinder;evangelisch;Diplom-Lehrer Biologie/Chemie;24.10.2017;None
Schwarz;Andreas;03.03.1965;Berleburg;None;männlich;SPD;verheiratet, 1 Kind;evangelisch;Dipl.-Betriebswirt (FH) Bürgermeister a. D.;24.10.2017;None
Sorge;Tino;04.03.1975;Ilmenau;None;männlich;CDU;verheiratet;{'-self-closing': 'true'};Volljurist;24.10.2017;None
Spiering;Rainer;27.01.1956;Erpen (jetzt Dissen);None;männlich;SPD;verheiratet, 3 Kinder;evangelisch;Berufsschullehrer;24.10.2017;None
Stadler;Svenja;26.08.1976;Oldenburg (Oldenburg);None;weiblich;SPD;verheiratet;ohne Angaben;PR-Senior-Beraterin;24.10.2017;None
Stamm-Fibich;Martina;23.04.1965;Erlangen;None;weiblich;SPD;geschieden, 2 Kinder;evangelisch-reformiert;Marketing- und Kommunikationsmanagerin, Betriebsrätin;24.10.2017;None
Stefinger;Wolfgang;20.04.1985;München;None;männlich;CSU;keine Angaben;römisch-katholisch;Diplom-Betriebswirt (FH);24.10.2017;None
Stegemann;Albert;09.03.1976;Nordhorn;None;männlich;CDU;ledig;evangelisch-reformiert;Landwirtschaftsmeister;24.10.2017;None
Stein;Peter;18.01.1968;Siegen;None;männlich;CDU;verheiratet, 2 Kinder;evangelisch;Diplom-Ingenieur;24.10.2017;None
Steineke;Sebastian;19.06.1973;Hamburg;None;männlich;CDU;verheiratet, 2 Kinder;evangelisch;Rechtsanwalt;24.10.2017;None
Steiniger;Johannes;18.06.1987;Bad Dürkheim;None;männlich;CDU;{'-self-closing': 'true'};{'-self-closing': 'true'};Referendar;24.10.2017;None
Tausend;Claudia;22.07.1964;Vilsbiburg;None;weiblich;SPD;verheiratet;römisch-katholisch;Diplom-Geographin;24.10.2017;None
Thews;Michael;06.09.1964;Bremerhaven;None;männlich;SPD;ledig, 1 Kind;{'-self-closing': 'true'};Diplom-Chemieingenieur;24.10.2017;None
Träger;Carsten;25.10.1973;Fürth;None;männlich;SPD;verheiratet, 2 Kinder;evangelisch-lutherisch;Koordinator Kommunikation;06.12.2017;None
Ullrich;Volker;14.10.1975;Illertissen;None;männlich;CSU;keine Angaben;katholisch;Jurist, Dipl.-Kaufmann, Stadtrat;24.10.2017;None
Veith;Oswin;16.05.1961;Ober-Wöllstadt;None;männlich;CDU;verheiratet, 1 Kind;römisch-katholisch;Erster Kreisbeigeordneter a. D.;24.10.2017;None
Verlinden;Julia;18.01.1979;Bergisch Gladbach;None;weiblich;BÜNDNIS 90/DIE GRÜNEN;verheiratet;ohne Angaben;Diplom-Umweltwissenschaftlerin;24.10.2017;None
Vöpel;Dirk;29.05.1971;Oberhausen;None;männlich;SPD;geschieden, 1 Kind;{'-self-closing': 'true'};Selbstständiger Kaufmann;24.10.2017;None
Vries;Kees;30.08.1955;Nibbixwoud, Niederlande;None;männlich;CDU;verheiratet, 6 Kinder;ohne Angaben;selbstständiger Unternehmer;24.10.2017;None
Warken;Nina;15.05.1979;Bad Mergentheim;None;weiblich;CDU;verheiratet, 3 Kinder;römisch-katholisch;Rechtsanwältin;05.12.2018;None
Weber;Gabi;24.03.1955;Ebernhahn;None;weiblich;SPD;keine Angaben;ohne Angaben;Keramikmalerin, DGB-Regionsvorsitzende Koblenz;24.10.2017;None
Weiler;Albert H.;15.10.1965;Mayen;None;männlich;CDU;verheiratet, 1 Kind;römisch-katholisch;Verwaltungs- und Betriebswirt, Politologe;24.10.2017;None
Weisgerber;Anja;11.03.1976;Schweinfurt;None;weiblich;CSU;verheiratet, 2 Kinder;evangelisch-lutherisch;Rechtsanwältin;24.10.2017;None
Wendt;Marian;09.06.1985;Torgau;None;männlich;CDU;ledig;evangelisch-lutherisch;Dipl.-Verwaltungswirt;24.10.2017;None
Westphal;Bernd;30.09.1960;Hildesheim;None;männlich;SPD;geschieden, 3 Kinder;ohne Angaben;Gewerkschaftssekretär, Chemielaborant;24.10.2017;None
Whittaker;Kai;10.04.1985;Baden-Baden;None;männlich;CDU;ledig;evangelisch-lutherisch;Wirtschaftswissenschaftler M. Sc.;24.10.2017;None
Wiese;Dirk;11.07.1983;Paderborn;None;männlich;SPD;verheiratet, 1 Kind;evangelisch;Jurist;24.10.2017;None
Wittke;Oliver;24.09.1966;Marl;None;männlich;CDU;verheiratet, 2 Kinder;römisch-katholisch;Diplom-Geograph, Parl. Staatssekretär a. D.;24.10.2017;None
Yüksel;Gülistan;27.03.1962;Adana, Türkei;None;weiblich;SPD;verheiratet, 2 Kinder;ohne Angaben;Pharmazeutisch kaufmännische Assistentin;24.10.2017;None
Zdebel;Hubertus;29.10.1954;Elten (jetzt Emmerich);None;männlich;DIE LINKE.;{'-self-closing': 'true'};{'-self-closing': 'true'};Journalist;24.10.2017;None
Zech;Tobias;09.07.1981;Trostberg;None;männlich;CSU;verheiratet, 2 Kinder;römisch-katholisch;Geschäftsführer;25.05.2020;None
Zeulner;Emmi;27.03.1987;Lichtenfels;None;weiblich;CSU;{'-self-closing': 'true'};römisch-katholisch;Examinierte Gesundheits-und Krankenpflegerin;24.10.2017;None
Zierke;Stefan;05.12.1970;Prenzlau;None;männlich;SPD;verheiratet, 2 Kinder;ohne Angaben;Werkzeugmacher, Touristikfachwirt, Parl. Staatssekretär;24.10.2017;None
Zimmermann;Pia;17.09.1956;Braunschweig;None;weiblich;DIE LINKE.;3 Kinder;ohne Angaben;Mediengestalterin;24.10.2017;None
Zimmermann;Jens;09.09.1981;Groß-Umstadt;None;männlich;SPD;{'-self-closing': 'true'};evangelisch-lutherisch;Diplom-Kaufmann;24.10.2017;None
Petry;Christian;15.03.1965;Neunkirchen;None;männlich;SPD;verheiratet, 2 Kinder;{'-self-closing': 'true'};Diplom-Verwaltungswirt;24.10.2017;None
Müller;Norbert;10.02.1986;Wriezen;None;männlich;DIE LINKE.;verheiratet, 2 Kinder;{'-self-closing': 'true'};Student;24.10.2017;None
Glöckner;Angelika;05.02.1962;Pirmasens;None;weiblich;SPD;verheiratet, 2 Kinder;{'-self-closing': 'true'};Verwaltungsfachwirtin;24.10.2017;None
Kemmer;Ronja;03.05.1989;Esslingen;None;weiblich;CDU;verheiratet;evangelisch;Studentin;24.10.2017;None
Ryglewski;Sarah;31.01.1983;Köln;None;weiblich;SPD;{'-self-closing': 'true'};{'-self-closing': 'true'};Dipl.- Politologin, Parl. Staatssekretärin;24.10.2017;None
Uhl;Markus;31.10.1979;Köln;None;männlich;CDU;verheiratet;römisch-katholisch;Dipl.-Kaufmann;24.10.2017;None
Abercron;Michael;17.11.1952;Ehlerstorf;None;männlich;CDU;verheiratet, 2 Kinder;evangelisch-lutherisch;Dipl.-Agraringenieur;24.10.2017;None
Achelwilm;Doris;30.11.1976;Thuine;None;weiblich;DIE LINKE.;ledig;römisch-katholisch;Angestellte;24.10.2017;None
Aggelidis;Grigorios;19.08.1965;Hannover;None;männlich;FDP;verheiratet, 2 Kinder;griechisch-orthodox;Vermögensverwalter, Bankkaufmann;24.10.2017;None
Akbulut;Gökay;16.11.1982;Pinarbaşi;None;weiblich;DIE LINKE.;ledig;{'-self-closing': 'true'};Sozialwissenschaftlerin;24.10.2017;None
Alt;Renata;27.08.1965;Skalica;None;weiblich;FDP;verheiratet;{'-self-closing': 'true'};Dipl.-Chemieingenieurin;24.10.2017;None
Altenkamp;Norbert Maria;27.07.1972;Marl;None;männlich;CDU;{'-self-closing': 'true'};{'-self-closing': 'true'};Bürgermeister;24.10.2017;None
Amthor;Philipp;10.11.1992;Ueckermünde;None;männlich;CDU;{'-self-closing': 'true'};{'-self-closing': 'true'};Jurist;24.10.2017;None
Badum;Lisa;02.10.1983;Forchheim;None;weiblich;BÜNDNIS 90/DIE GRÜNEN;ledig;römisch-katholisch;Politikwissenschaftlerin;24.10.2017;None
Barrientos;Simone;05.10.1963;Lutherstadt Eisleben;None;weiblich;DIE LINKE.;{'-self-closing': 'true'};{'-self-closing': 'true'};Elektrikerin, Gebrauchswerberin, Verlegerin;24.10.2017;None
Bauer;Nicole;19.03.1987;Vilsbiburg;None;weiblich;FDP;ledig;römisch-katholisch;Dipl.-Wirtschaftsingenieurin (FH);24.10.2017;None
Baumann;Bernd;31.01.1958;Wanne-Eickel;None;männlich;AfD;verheiratet;konfessionslos;Kaufmann;24.10.2017;None
Bause;Margarete;19.01.1959;Wertheim;None;weiblich;BÜNDNIS 90/DIE GRÜNEN;verheiratet, 1 Kind;konfessionslos;Dipl.-Soziologin;24.10.2017;None
Bayaz;Danyal;15.10.1983;Heidelberg;None;männlich;BÜNDNIS 90/DIE GRÜNEN;ledig;{'-self-closing': 'true'};Unternehmensberater;24.10.2017;None
Bayram;Canan;11.02.1966;Malatya;None;weiblich;BÜNDNIS 90/DIE GRÜNEN;ledig, 1 Kind;{'-self-closing': 'true'};Juristin;24.10.2017;None
Beeck;Jens;19.09.1969;Münster (Westf.);None;männlich;FDP;{'-self-closing': 'true'};{'-self-closing': 'true'};Rechtsanwalt;24.10.2017;None
In der Beek;Olaf;31.07.1967;Bochum;None;männlich;FDP;verheiratet, 3 Kinder;konfessionslos;selbst. Unternehmer;24.10.2017;None
Beer;Nicola;23.01.1970;Wiesbaden;None;weiblich;FDP;verheiratet, 2 Kinder;{'-self-closing': 'true'};Rechtsanwältin;24.10.2017;None
Bernhard;Marc;05.02.1972;Reutlingen;None;männlich;AfD;geschieden, 2 Kinder;{'-self-closing': 'true'};Rechtsanwalt, Volljurist;24.10.2017;None
Bernstein;Melanie;28.09.1976;Buchholz in der Nordheide;None;weiblich;CDU;verwitwet, 2 Kinder;evangelisch;Kulturwissenschaftlerin;24.10.2017;None
Bernstiel;Christoph;08.02.1984;Bernburg;None;männlich;CDU;{'-self-closing': 'true'};{'-self-closing': 'true'};Politikwissenschaftler (M. A.);24.10.2017;None
Beutin;Lorenz Gösta;18.07.1978;Hamburg;None;männlich;DIE LINKE.;ledig;{'-self-closing': 'true'};Historiker;24.10.2017;None
Biadacz;Marc;03.09.1979;Böblingen;None;männlich;CDU;verheiratet;römisch-katholisch;ltd. Angestellter in der Digitalbranche;24.10.2017;None
Bleck;Andreas;17.04.1988;Neuwied;None;männlich;AfD;verheiratet;konfessionslos;Student;24.10.2017;None
Boehringer;Peter;06.04.1969;Schwäbisch Gmünd;None;männlich;AfD;2 Kinder;{'-self-closing': 'true'};Dipl.-Kaufmann / Dipl.-Informatiker;24.10.2017;None
Brandenburg;Jens;08.03.1986;Simmerath;None;männlich;FDP;Lebensgemeinschaft;konfessionslos;Unternehmensberater, Politikwissenschaftler;24.10.2017;None
Brandenburg;Mario;03.10.1983;Bad Bergzabern;None;männlich;FDP;verheiratet, 2 Kinder;konfessionslos;Wirtschaftsinformatiker;24.10.2017;None
Brandner;Stephan;29.05.1966;Herten;None;männlich;AfD;verheiratet;römisch-katholisch;Rechtsanwalt;24.10.2017;None
Brandt;Michel;14.07.1990;Achim;None;männlich;DIE LINKE.;{'-self-closing': 'true'};{'-self-closing': 'true'};Schauspieler;24.10.2017;None
Braun;Jürgen;25.08.1961;Bergneustadt;None;männlich;AfD;verheiratet, 2 Kinder;evangelisch;Kommunikationsberater;24.10.2017;None
Breher;Silvia;23.07.1973;Löningen;None;weiblich;CDU;verheiratet, 3 Kinder;römisch-katholisch;Geschäftsführerin, Rechtsanwältin, Volljuristin;24.10.2017;None
Brehm;Sebastian;18.10.1971;Nürnberg;None;männlich;CSU;2 Kinder;evangelisch;Geschäftsführer;24.10.2017;None
Breymaier;Leni;26.04.1960;Ulm;None;weiblich;SPD;verheiratet;evangelisch;Einzelhandelskauffrau;24.10.2017;None
Brodesser;Carsten;05.09.1967;Lindlar;None;männlich;CDU;verheiratet, 3 Kinder;römisch-katholisch;Dipl.-Volkswirt;24.10.2017;None
Budde;Katrin;13.04.1965;Magdeburg;None;weiblich;SPD;verheiratet, 2 Kinder;katholisch;Dipl.-Ing. für Arbeitsgestaltung;24.10.2017;None
Bühl;Marcus;29.04.1977;Ilmenau;None;männlich;AfD;{'-self-closing': 'true'};{'-self-closing': 'true'};Dipl.-Informatiker (M. Sc.) (FH);24.10.2017;None
Bull-Bischoff;Birke;09.11.1963;Weißenfels;None;weiblich;DIE LINKE.;verheiratet, 1 Kind;konfessionslos;Erziehungswissenschaftlerin / Soziologin;24.10.2017;None
Busen;Karlheinz;05.04.1951;Gronau (Westf.);None;männlich;FDP;verwitwet, 3 Kinder;römisch-katholisch;Dipl.-Ingenieur, selbst. Bauingenieur;24.10.2017;None
Büttner;Matthias;04.11.1990;Stendal;None;männlich;AfD;ledig;konfessionslos;Informatiker;24.10.2017;None
Bystron;Petr;30.11.1972;Olmütz;None;männlich;AfD;verheiratet, 2 Kinder;römisch-katholisch;Unternehmer;24.10.2017;None
Cezanne;Jörg;08.06.1958;Frankfurt am Main;None;männlich;DIE LINKE.;geschieden, 1 Kind;konfessionslos;Geschäftsführer;24.10.2017;None
Christmann;Anna;24.09.1983;Hannover;None;weiblich;BÜNDNIS 90/DIE GRÜNEN;verheiratet, 1 Kind;katholisch;wiss. Referentin;24.10.2017;None
Chrupalla;Tino;14.04.1975;Weißwasser;None;männlich;AfD;verheiratet, 3 Kinder;{'-self-closing': 'true'};Meister des Maler- und Lackierhandwerks;24.10.2017;None
Cotar;Joana;06.04.1973;Pitesti, Rumänien;None;weiblich;AfD;verheiratet;konfessionslos;Magister Artium;24.10.2017;None
Cronenberg;Carl-Julius;30.07.1962;Arnsberg;None;männlich;FDP;verheiratet, 3 Kinder;römisch-katholisch;Unternehmer;24.10.2017;None
Curio;Gottfried;02.09.1960;Berlin;None;männlich;AfD;{'-self-closing': 'true'};{'-self-closing': 'true'};Physiker;24.10.2017;None
Damerow;Astrid;30.03.1958;Bonndorf im Schwarzwald;None;weiblich;CDU;verheiratet, 1 Kind;evangelisch-lutherisch;Bankkauffrau;24.10.2017;None
Dassler;Britta Katharina;22.07.1964;Jülich;None;weiblich;FDP;verheiratet, 2 Kinder;römisch-katholisch;Unternehmerin;24.10.2017;None
Dilcher;Esther;18.09.1965;Hofgeismar;None;weiblich;SPD;verheiratet, 3 Kinder;evangelisch;Rechtsanwältin, Notarin, Volljurist;24.10.2017;None
Domscheit-Berg;Anke;17.02.1968;Premnitz;None;weiblich;Plos;verheiratet, 1 Kind;konfessionslos;Publizistin;24.10.2017;None
Droese;Siegbert;07.06.1969;Leipzig;None;männlich;AfD;verheiratet, 4 Kinder;evangelisch-lutherisch;Hotelkaufmann;24.10.2017;None
Dürr;Christian;18.04.1977;Delmenhorst;None;männlich;FDP;verheiratet, 2 Kinder;evangelisch;Dipl.-Ökonom;24.10.2017;None
Ebbing;Hartmut;13.05.1956;Berlin;None;männlich;FDP;ledig, 3 Kinder;evangelisch;Bankkaufmann, Dipl.-Kaufmann;24.10.2017;None
Ehrhorn;Thomas;20.03.1959;Helmstedt;None;männlich;AfD;verheiratet, 1 Kind;evangelisch;Pilot;24.10.2017;None
Elsner von Gronow;Berengar;07.01.1978;Bad Godesberg (jetzt Bonn);None;männlich;AfD;ledig;römisch-katholisch;eCommerce Manager;24.10.2017;None
Erndl;Thomas;22.07.1974;Osterhofen;None;männlich;CSU;verheiratet, 3 Kinder;römisch-katholisch;Dipl.-Ing. Elektrotechnik (FH), Soldat Lt. d. R.;24.10.2017;None
Esdar;Wiebke;11.02.1984;Bielefeld;None;weiblich;SPD;ledig;evangelisch;Dipl.-Psychologin;24.10.2017;None
Espendiller;Michael;05.05.1989;Leonberg;None;männlich;AfD;ledig;konfessionslos;Mathematiker;24.10.2017;None
Faber;Marcus;04.02.1984;Stendal;None;männlich;FDP;{'-self-closing': 'true'};{'-self-closing': 'true'};Dipl.-Politikwissenschaftler;24.10.2017;None
Fahimi;Yasmin;25.12.1967;Hannover;None;weiblich;SPD;ledig;konfessionslos;Staatssekretärin a. D. / Dipl.-Chemikerin;24.10.2017;None
Felser;Peter;20.09.1969;Dillingen a. d. Donau;None;männlich;AfD;verheiratet, 5 Kinder;römisch-katholisch;Dipl.-Pädagoge;24.10.2017;None
Ferschl;Susanne;10.03.1973;Schwaz, Österreich;None;weiblich;DIE LINKE.;verheiratet;konfessionslos;Chemielaborantin, Mediatorin;24.10.2017;None
Föst;Daniel;10.08.1976;Schweinfurt;None;männlich;FDP;verheiratet, 2 Kinder;evangelisch;selbstständiger Unternehmer;24.10.2017;None
Freihold;Brigitte;09.04.1955;Kaiserslautern;None;weiblich;DIE LINKE.;eheähnl. Lebensgemeinschaft, 2 Kinder;evangelisch;Lehrerin;24.10.2017;None
Friedhoff;Dietmar;18.06.1966;Hagen;None;männlich;AfD;geschieden, 2 Kinder;{'-self-closing': 'true'};Dipl.-Ingenieur / Vertriebstrainer;24.10.2017;None
Friesen;Anton;15.06.1985;Uspenska, Kasachstan;None;männlich;AfD;ledig;römisch-katholisch;wiss. Mitarbeiter;24.10.2017;None
Frohnmaier;Markus;25.02.1991;Craiova / Rumänien;None;männlich;AfD;verheiratet, 1 Kind;evangelisch;Pressesprecher;24.10.2017;None
Frömming;Götz;30.08.1968;Eutin;None;männlich;AfD;verheiratet, 2 Kinder;evangelisch;Studiendirektor;24.10.2017;None
Gabelmann;Sylvia;07.09.1958;Bad Homburg v. d. Höhe;None;weiblich;DIE LINKE.;geschieden;{'-self-closing': 'true'};Apothekerin;24.10.2017;None
Gauland;Alexander;20.02.1941;Chemnitz;None;männlich;AfD;verheiratet, 1 Kind;evangelisch;Volljurist;24.10.2017;None
Gehrke;Axel;12.01.1942;Arnswalde;None;männlich;AfD;verheiratet, 3 Kinder;konfessionslos;Arzt, Hochschullehrer;24.10.2017;None
Gelbhaar;Stefan;09.07.1976;Berlin;None;männlich;BÜNDNIS 90/DIE GRÜNEN;verpartnert, 2 Kinder;{'-self-closing': 'true'};Rechtsanwalt und Strafverteidiger;24.10.2017;None
Glaser;Albrecht;08.01.1942;Worms;None;männlich;AfD;verheiratet, 4 Kinder;{'-self-closing': 'true'};Stadtkämmerer a. D.;24.10.2017;None
Gminder;Franziska;04.02.1945;Gablonz an der Neiße;None;weiblich;AfD;{'-self-closing': 'true'};{'-self-closing': 'true'};Dipl.-Kauffrau;24.10.2017;None
Gnodtke;Eckhard;07.01.1958;Lüchow;None;männlich;CDU;{'-self-closing': 'true'};{'-self-closing': 'true'};Komunalbeamter / Jurist;24.10.2017;None
Gottberg;Wilhelm;30.03.1940;Woopen / Ostpreußen;None;männlich;AfD;{'-self-closing': 'true'};{'-self-closing': 'true'};Beamter i. R.;24.10.2017;None
Gottschalk;Kay;12.12.1965;Hamburg;None;männlich;AfD;ledig;{'-self-closing': 'true'};Dipl.-Kaufmann, Manager Versicherungswirtschaft;24.10.2017;None
Gremmels;Timon;04.01.1976;Marburg;None;männlich;SPD;ledig;evangelisch;Politikwissenschaftler;24.10.2017;None
Grundl;Erhard;07.01.1963;Mallersdorf-Pfaffenberg;None;männlich;BÜNDNIS 90/DIE GRÜNEN;verheiratet, 2 Kinder;konfessionslos;Vertriebsmanager, Musiker;24.10.2017;None
Hacker;Thomas;09.10.1967;Bayreuth;None;männlich;FDP;ledig;evangelisch-lutherisch;Dipl.-Kaufmann;24.10.2017;None
Hampel;Armin-Paulus;23.07.1957;Bielefeld;None;männlich;AfD;{'-self-closing': 'true'};{'-self-closing': 'true'};Journalist;24.10.2017;None
Harder-Kühnel;Mariana Iris;16.08.1974;Gelnhausen;None;weiblich;AfD;verheiratet, 3 Kinder;römisch-katholisch;Rechtsanwältin;24.10.2017;None
Hartmann;Verena;29.03.1974;Räckelwitz;None;weiblich;Plos;verheiratet, 2 Kinder;evangelisch;Dipl.-Kommunikationswirtin;24.10.2017;None
Hartwig;Roland;22.09.1954;Berlin;None;männlich;AfD;geschieden, 5 Kinder;{'-self-closing': 'true'};Rechtsanwalt;24.10.2017;None
Haug;Jochen;11.01.1973;Aulendorf;None;männlich;AfD;ledig;katholisch;Rechtsanwalt;24.10.2017;None
Hebner;Martin;10.11.1959;Frankfurt am Main;None;männlich;AfD;verheiratet, 4 Kinder;{'-self-closing': 'true'};Dipl.-Informatiker, MBA;24.10.2017;None
Heilmann;Thomas;16.07.1964;Dortmund;None;männlich;CDU;ledig, 4 Kinder;{'-self-closing': 'true'};Volljurist;24.10.2017;None
Helling-Plahr;Katrin;02.04.1986;Hagen;None;weiblich;FDP;verheiratet, 2 Kinder;evangelisch;Rechtsanwältin;24.10.2017;None
Hemmelgarn;Udo Theodor;04.05.1959;Harsewinkel;None;männlich;AfD;{'-self-closing': 'true'};{'-self-closing': 'true'};selbst. Kaufmann;24.10.2017;None
Henrichmann;Marc;01.06.1976;Münster;None;männlich;CDU;verheiratet, 1 Kind;römisch-katholisch;Rechtsanwalt, Volljurist;24.10.2017;None
Herbrand;Markus;24.02.1971;Schleiden;None;männlich;FDP;verheiratet;römisch-katholisch;Dipl.-Finanzwirt, Steuerberater;24.10.2017;None
Herbst;Torsten;23.08.1973;Dresden;None;männlich;FDP;{'-self-closing': 'true'};{'-self-closing': 'true'};Dipl.-Kaufmann (FH);24.10.2017;None
Herdt;Waldemar;28.11.1962;Sabelowka, Kasachstan;None;männlich;AfD;verheiratet, 4 Kinder;evangelisch-freikirchlich;Unternehmer;24.10.2017;None
Herrmann;Lars;12.04.1977;Leisnig;None;männlich;Plos;verheiratet, 3 Kinder;{'-self-closing': 'true'};Dipl.-Verwaltungswirt;24.10.2017;None
Hess;Martin;11.01.1971;Hechingen;None;männlich;AfD;ledig, 1 Kind;konfessionslos;Polizeibeamter;24.10.2017;None
Hessel;Katja;05.05.1972;Nürnberg;None;weiblich;FDP;verheiratet;evangelisch;Rechtsanwältin f. Steuerrecht;24.10.2017;None
Heßenkemper;Heiko;11.01.1956;Hamm;None;männlich;AfD;{'-self-closing': 'true'};{'-self-closing': 'true'};Professor;24.10.2017;None
Hilse;Karsten;12.12.1964;Hoyerswerda;None;männlich;AfD;verheiratet, 3 Kinder;{'-self-closing': 'true'};Polizeibeamter;24.10.2017;None
Höchst;Nicole;10.02.1970;Homburg (Saar);None;weiblich;AfD;getrennt lebend, 4 Kinder;römisch-katholisch;Regierungsschuldirektorin;24.10.2017;None
Hocker;Gero Clemens;30.06.1975;Bremen;None;männlich;FDP;verheiratet;evangelisch;Bankkaufmann, Wirtschaftswissenschaftler;24.10.2017;None
Hoffmann;Bettina;18.01.1960;Heimboldshausen;None;weiblich;BÜNDNIS 90/DIE GRÜNEN;verheiratet, 2 Kinder;evangelisch;Dipl.-Biologin;24.10.2017;None
Hoffmann;Christoph;09.12.1957;Schliengen;None;männlich;FDP;verheiratet, 1 Kind;evangelisch;Bürgermeister;24.10.2017;None
Höhn;Matthias;19.08.1975;Stolberg;None;männlich;DIE LINKE.;eingetragene Lebenspartnerschaft;{'-self-closing': 'true'};{'-self-closing': 'true'};24.10.2017;None
Hollnagel;Bruno;13.01.1948;Hamburg;None;männlich;AfD;verheiratet, 3 Kinder;{'-self-closing': 'true'};Wirtschaftswissenschaftler;24.10.2017;None
Holm;Leif-Erik;01.08.1970;Schwerin;None;männlich;AfD;verheiratet, 3 Kinder;ohne Angaben;Ökonom (M. Sc.) / Journalist;24.10.2017;None
Holtz;Ottmar;27.09.1961;Gobabis, Namibia;None;männlich;BÜNDNIS 90/DIE GRÜNEN;geschieden, 2 Kinder;{'-self-closing': 'true'};Dipl.-Ökonom;24.10.2017;None
Houben;Reinhard;29.04.1960;Bensberg (jetzt Bergisch Gladbach);None;männlich;FDP;verheiratet, 2 Kinder;evangelisch;Unternehmer;24.10.2017;None
Huber;Johannes;12.01.1987;Moosburg a.d.Isar;None;männlich;AfD;ledig;{'-self-closing': 'true'};Dipl.-Soziologe, Finanzbuchhalter;24.10.2017;None
Ihnen;Ulla;06.01.1956;Wittmund;None;weiblich;FDP;verwitwet;ohne Angaben;Staatssekretärin a. D., Juristin;24.10.2017;None
Irmer;Hans-Jürgen;20.02.1952;Limburg a.d. Lahn;None;männlich;CDU;verheiratet, 2 Kinder;römisch-katholisch;Oberstudienrat;24.10.2017;None
Jacobi;Fabian;19.06.1973;Münster;None;männlich;AfD;ledig;{'-self-closing': 'true'};Rechtsanwalt, Volljurist;24.10.2017;None
Jongen;Marc;23.05.1968;Meran;None;männlich;AfD;ledig;{'-self-closing': 'true'};Dozent für Philosophie;24.10.2017;None
Jung;Christian;20.12.1977;Heidelberg;None;männlich;FDP;verheiratet, 2 Kinder;römisch-katholisch;Studiendirektor;24.10.2017;None
Jung;Ingmar;04.04.1978;Wiesbaden-Sonnenberg;None;männlich;CDU;verheiratet, 1 Kind;römisch-katholisch;Volljurist;24.10.2017;None
Kaiser;Elisabeth;04.03.1987;Gera;None;weiblich;SPD;verheiratet;{'-self-closing': 'true'};Pressesprecherin;24.10.2017;None
Kamann;Uwe;19.08.1958;Magdeburg;None;männlich;Plos;verheiratet, 3 Kinder;{'-self-closing': 'true'};Elektroniker / Kaufmann;24.10.2017;None
Kappert-Gonther;Kirsten;03.11.1966;Marburg;None;weiblich;BÜNDNIS 90/DIE GRÜNEN;verheiratet, 2 Kinder;evangelisch;Fachärztin für Psychatrie und Psychotherapie;24.10.2017;None
Kartes;Torbjörn;23.04.1979;Freiburg im Breisgau;None;männlich;CDU;verheiratet, 1 Kind;evangelisch;Rechtsanwalt, Volljurist;24.10.2017;None
Kemmerich;Thomas L.;20.02.1965;Aachen;None;männlich;FDP;verheiratet, 6 Kinder;römisch-katholisch;Jurist, Kaufmann;24.10.2017;None
