Nr;Gebiet;gehört zu;Wahlberechtigte;Wähler;Ungültige_Erststimmen;Ungültige_Zweitstimmen;Gültige_Erststimmen;Gültige_Zweitstimmen;CDU/CSU_Erststimmen;CDU/CSU_Zweitstimmen;SPD_Erststimmen;SPD_Zweitstimmen;DIE LINKE_Erststimmen;DIE LINKE_Zweitstimmen;GRÜNE_Erststimmen;GRÜNE_Zweitstimmen;FDP_Erststimmen;FDP_Zweitstimmen;AfD_Erststimmen;AfD_Zweitstimmen
219;München-Süd;9;216725;170483;1086;659;169397;169824;55894;50686;39873;27500;12611;14694;23343;29560;15332;22587;12921;14578
220;München-West/Mitte;9;241282;193399;1322;778;192077;192621;64014;57322;44283;30617;13569;16638;31385;35605;17369;26356;12852;14895
221;München-Land;9;235172;197265;1129;900;196136;196365;85347;73189;31943;27490;7708;9996;26890;24837;18312;30054;16458;18470
222;Rosenheim;9;235170;186492;1544;1035;184948;185457;84981;75178;21890;20967;7036;9449;17307;18571;13750;20311;23988;25697
223;Bad Tölz-Wolfratshausen – Miesbach;9;165527;132612;1358;795;131254;131817;62465;54786;14792;14457;6922;6486;17786;13605;10702;16343;13025;15391
224;Starnberg – Landsberg am Lech;9;213628;177013;1334;747;175679;176266;73948;67512;29308;22332;6983;9594;20864;23111;16893;24950;15607;17460
225;Traunstein;9;208466;160615;1390;1046;159225;159569;80056;71196;25659;18916;7144;8508;12972;14680;9034;14614;16276;19191
226;Weilheim;9;167159;134333;1295;766;133038;133567;63784;57254;19722;15402;6229;7214;12066;12753;9370;13909;13383;16145
227;Deggendorf;9;166659;119455;1064;701;118391;118754;52167;48182;20612;16915;4955;5892;5342;5528;4707;8968;20438;22765
228;Landshut;9;249836;192966;1731;1266;191235;191700;75702;75521;25970;25095;6869;9270;12514;13856;16297;19361;24080;28061
229;Passau;9;177387;131350;1179;779;130171;130571;61835;52937;24611;19709;6246;7357;7248;8393;7900;11918;18328;20967
230;Rottal-Inn;9;168642;124299;1239;794;123060;123505;55364;52752;17683;15765;4851;5510;6061;6478;8625;11215;18539;20401
231;Straubing;9;173953;129424;1374;1215;128050;128209;60976;53712;21525;17512;4766;5590;4602;5846;5670;10308;19261;23576
232;Amberg;9;215876;169507;1657;1302;167850;168205;80075;71720;25580;26080;7461;8948;11612;11997;8388;12854;18790;21550
233;Regensburg;9;252916;198780;1891;1119;196889;197661;78858;74720;32862;28582;11761;13259;18343;20332;12254;17719;23275;25625
234;Schwandorf;9;216418;162549;3463;1268;159086;161281;77092;66827;38461;26122;7929;7339;6172;7302;7392;10608;;28006
235;Weiden;9;168415;130514;2323;1172;128191;129342;59285;55691;28614;24631;5677;6204;4553;6426;5269;8479;;17411
236;Bamberg;9;182513;145222;1089;801;144133;144421;60675;56138;29475;22529;7504;9351;13194;14279;9364;13776;16603;18392
237;Bayreuth;9;163934;127222;1051;693;126171;126529;58665;53063;26785;23198;5476;7022;8936;9994;8368;11369;11845;13566
238;Coburg;9;159654;123200;1507;1021;121693;122179;55078;48410;32163;27553;6305;6895;7129;8155;5877;9967;12763;14208
239;Hof;9;167552;126918;1060;1126;125858;125792;59182;48772;29641;27775;5560;7185;5936;6989;4716;9890;14893;16605
240;Kulmbach;9;170897;135072;1395;1160;133677;133912;74105;58112;21494;23675;5057;6431;5880;7966;5381;10335;15497;17997
241;Ansbach;9;243760;185955;2052;1537;183903;184418;81431;74425;33755;31464;11179;12208;13946;16239;7661;13825;19396;21734
242;Erlangen;9;180730;148048;888;676;147160;147372;62767;52414;30965;25578;8633;11115;16179;19862;8713;14973;11670;13953
243;Fürth;9;255491;198742;1715;1398;197027;197344;78559;69472;45055;37089;13311;15442;19088;20540;10618;17545;20968;23033
244;Nürnberg-Nord;9;192214;146205;1282;902;144923;145303;45340;40106;37068;26456;14511;16962;18463;21909;10379;15412;13398;14503
245;Nürnberg-Süd;9;181809;132085;1410;1107;130675;130978;46511;40882;34621;27467;10772;11640;10163;12166;7632;11199;17270;18679
246;Roth;9;227560;185895;1709;1341;184186;184554;81874;69743;37920;34040;8887;11635;14465;18033;8583;15990;18925;21317
247;Aschaffenburg;9;183362;144938;2048;1508;142890;143430;68708;55009;23660;25198;6833;8699;13144;13432;11381;15610;14985;16642
248;Bad Kissingen;9;216030;171202;1795;1300;169407;169902;86603;75788;32383;26904;9071;10085;11980;11359;9534;15084;17753;19650
249;Main-Spessart;9;196183;157206;1829;1238;155377;155968;72406;65245;35148;28903;7515;8562;11050;11939;7708;13720;14075;16856
250;Schweinfurt;9;199041;156159;1890;1218;154269;154941;73901;63674;26346;26163;12091;10422;11466;11717;9506;13789;17198;18905
251;Würzburg;9;225998;182961;1664;1054;181297;181907;76515;67585;33929;32126;10130;12931;25359;23719;14592;18813;13872;15764
252;Augsburg-Stadt;9;210528;153228;1586;1174;151642;152054;52769;48420;29285;24112;12850;13649;21062;18782;9191;15149;20170;21015
253;Augsburg-Land;9;248812;199077;1814;1231;197263;197846;94252;81831;27813;25240;7231;9737;14809;17447;11976;20565;24279;27045
254;Donau-Ries;9;190782;147825;1369;1000;146456;146825;68770;63638;26562;20289;6198;6687;9436;10102;7321;13440;18799;21585
255;Neu-Ulm;9;239647;182045;1669;1270;180376;180775;80503;72104;26419;24828;7855;9274;16519;14898;10780;18627;24612;27327
256;Oberallgäu;9;226604;176437;1240;1092;175197;175345;88357;72855;21451;21725;8264;10130;16162;19792;12262;18935;16825;18529
257;Ostallgäu;9;247539;191581;1692;1412;189889;190169;93430;79932;21610;23044;10153;10387;16537;16214;10627;19898;24018;25384
9;Bayern;99;9522371;7441006;69317;47796;7371689;7393210;3255487;2869688;1336404;1130931;384368;450803;661356;722116;477884;751248;773542;916300

258;Stuttgart I;8;194368;160834;1157;849;159677;159985;51118;46243;20512;23350;10409;14830;47430;31283;13399;26203;10646;11455
259;Stuttgart II;8;182501;139180;1343;1153;137837;138027;46166;40109;25469;23458;12321;12553;21850;21071;11903;19210;14345;14899
260;Böblingen;8;245678;196557;2271;1657;194286;194900;75323;68991;38053;30296;9715;10434;23206;24746;24867;29510;21842;22874
261;Esslingen;8;168715;135479;1361;1094;134118;134385;53665;44748;25697;22579;7853;8361;20501;19565;11657;18512;14390;14692
262;Nürtingen;8;207044;168052;1765;1443;166287;166609;65566;56105;31655;25190;7978;9132;24540;23673;16390;24922;19833;20544
263;Göppingen;8;178409;137585;2115;1637;135470;135948;50892;45290;29730;23924;5994;6882;16420;16749;12492;17188;19588;19956
264;Waiblingen;8;222891;178340;1933;1447;176407;176893;64958;58372;33898;28146;8626;9881;21542;21539;23568;28617;21863;22870
265;Ludwigsburg;8;218074;175304;1769;1317;173535;173987;66430;58003;30971;28547;9487;10451;24702;24000;17691;25538;20157;19780
266;Neckar-Zaber;8;229280;186362;1980;1525;184382;184837;73689;60898;36327;30472;8453;9719;23092;24282;16191;27145;23215;24212
267;Heilbronn;8;242553;185705;2595;2419;183110;183286;64591;58755;42455;32489;8448;10520;14920;19016;17566;23872;28575;30089
268;Schwäbisch Hall – Hohenlohe;8;225785;171760;1900;1965;169860;169795;68717;58215;31406;27472;7314;9594;21468;20512;14252;21629;22894;24827
269;Backnang – Schwäbisch Gmünd;8;176968;136717;1916;1406;134801;135311;55595;47588;26971;22298;7581;7999;15216;15482;10882;16717;17788;19438
270;Aalen – Heidenheim;8;221853;170191;2605;1975;167586;168216;77752;64217;35164;31341;8678;9233;16123;18427;10218;17707;18447;20616
271;Karlsruhe-Stadt;8;208868;162139;1633;1228;160506;160911;45821;44776;37924;27044;12155;15452;28268;29408;13829;19251;16073;16741
272;Karlsruhe-Land;8;209741;168801;2061;1675;166740;167126;67396;59137;32886;28591;7627;9119;19076;20489;15138;21441;19512;20887
273;Rastatt;8;206484;157208;2318;1960;154890;155248;68259;58798;29486;26374;7123;8369;16954;17766;11150;17847;18849;19701
274;Heidelberg;8;217934;179138;1568;1306;177570;177832;58019;53138;46219;32806;10751;14812;29664;30491;11769;22556;15803;16850
275;Mannheim;8;197289;144078;1504;1355;142574;142723;41812;38746;39795;30309;10493;12989;18739;18803;9835;16050;17833;18309
276;Odenwald – Tauber;8;210876;163339;2116;2114;161223;161225;75531;64208;30849;27175;8422;8907;11090;13642;11419;17564;21849;22289
277;Rhein-Neckar;8;198251;156402;1986;1748;154416;154654;57788;51797;36886;28486;8010;9738;14792;17687;12571;18933;20177;20942
278;Bruchsal – Schwetzingen;8;196426;154622;2264;1932;152358;152690;63166;53147;29684;26560;7016;8674;12641;15500;10255;18180;21960;22794
279;Pforzheim;8;219577;167977;2004;1897;165973;166080;60476;54364;31611;27101;7730;8952;16016;17869;19760;22643;26172;27107
280;Calw;8;198021;153463;1739;1858;151724;151605;65676;56330;25601;21832;6832;7759;13284;14989;14154;21646;21431;22715
281;Freiburg;8;222308;180854;1480;1319;179374;179535;50256;50423;40647;31452;13172;20168;46115;38002;9546;16725;12984;14103
282;Lörrach – Müllheim;8;232208;177399;1882;1695;175517;175704;69148;60513;36986;31249;8854;10898;26244;27014;15271;19449;16854;18459
283;Emmendingen – Lahr;8;218287;168468;2112;2024;166356;166444;62476;59784;39472;29738;8691;9588;18537;22806;14275;17626;18027;19139
284;Offenburg;8;205551;155724;2118;2075;153606;153649;73935;57033;26532;25406;8264;8411;19383;21220;9593;16940;15899;17800
285;Rottweil – Tuttlingen;8;199227;152001;1971;1951;150030;150050;64558;57060;23855;21900;5825;7141;14299;15329;16255;20328;19543;20942
286;Schwarzwald-Baar;8;165041;125344;1654;1615;123690;123729;58149;46812;20672;19337;5347;6608;12085;15113;10438;15124;14069;15350
287;Konstanz;8;205135;158861;1752;1478;157109;157383;70355;52194;26396;24529;11003;11306;21052;25202;11425;20758;15006;16215
288;Waldshut;8;177806;136595;1536;1466;135059;135129;56528;53066;32522;22122;6767;7369;16030;18842;8402;14647;12388;13299
289;Reutlingen;8;199934;157642;1839;1583;155803;156059;63494;53873;23397;23321;9711;9543;22309;21695;15533;21425;18702;20171
290;Tübingen;8;196488;159801;1615;1391;158186;158410;56446;48828;27325;24865;13862;15096;30197;28521;12504;18718;13684;15887
291;Ulm;8;222673;177460;2016;1597;175444;175863;74849;64988;35456;27889;8105;9976;20990;24160;14173;20277;18734;20432
292;Biberach;8;167025;131693;1611;1418;130082;130275;57837;56162;22034;16557;4907;5997;17589;14729;9775;14321;14640;16236
293;Bodensee;8;172782;137146;1352;1195;135794;135951;56165;50428;24451;19321;7185;8316;18811;20015;11999;17954;14079;14164
294;Ravensburg;8;186958;146174;1517;1387;144657;144787;55758;56264;17958;19398;7860;8889;29216;21770;14672;16441;13668;14901
295;Zollernalb – Sigmaringen;8;183588;139548;2354;1821;137194;137727;61694;52284;19716;19446;6450;7061;17489;15798;12695;18394;18609;18814
8;Baden-Württemberg;99;7732597;6053943;70712;60975;5983231;5992968;2350054;2061687;1166668;982370;325019;380727;801880;807205;517512;762008;690128;730499

296;Saarbrücken;10;199885;147602;2304;2172;145298;145430;45664;41394;46688;38322;19262;21669;8782;11748;7672;11753;12950;14042
297;Saarlouis;10;207501;160430;2415;2825;158015;157605;60102;52981;50672;42476;17142;20320;5532;8598;6069;12059;14224;15506
