Nr;Gebiet;gehört zu;Wahlberechtigte;Wähler;Ungültige_Erststimmen;Ungültige_Zweitstimmen;Gültige_Erststimmen;Gültige_Zweitstimmen;CDU/CSU_Erststimmen;CDU/CSU_Zweitstimmen;SPD_Erststimmen;SPD_Zweitstimmen;DIE LINKE_Erststimmen;DIE LINKE_Zweitstimmen;GRÜNE_Erststimmen;GRÜNE_Zweitstimmen;FDP_Erststimmen;FDP_Zweitstimmen;AfD_Erststimmen;AfD_Zweitstimmen
1;Flensburg – Schleswig;1;228471;171914;1596;1449;170318;170465;68120;58320;47711;40388;12144;14002;17911;22304;11147;18955;10583;11653
2;Nordfriesland – Dithmarschen Nord;1;186568;139194;1297;1123;137897;138071;62256;52928;34685;31120;7102;8589;13026;15144;11105;18050;8117;9030
3;Steinburg – Dithmarschen Süd;1;176636;132017;1134;1139;130883;130878;54812;47366;34219;29756;7176;8732;8791;12960;14440;17298;10006;11180
4;Rendsburg-Eckernförde;1;200831;157354;1252;1087;156102;156267;66625;56585;45070;35766;8074;9962;13978;19337;10077;19071;10656;11578
5;Kiel;1;204650;153273;1594;1204;151679;152069;46560;40736;46991;36208;11114;15546;21743;26143;11363;17804;9283;10504
6;Plön – Neumünster;1;174937;131713;1224;1199;130489;130514;53109;43778;37728;31013;7009;8503;11736;16350;9379;16481;10223;11161
7;Pinneberg;1;238533;187715;1620;1343;186095;186372;73816;63863;56460;42729;11270;13111;15379;21336;14441;24735;14729;15977
8;Segeberg – Stormarn-Mitte;1;247296;193280;1508;1335;191772;191945;78824;66367;52434;43027;10838;13237;16004;21010;15617;26043;15682;17166
9;Ostholstein – Stormarn-Nord;1;181522;138439;1150;1144;137289;137295;56996;48898;42232;33764;6062;8303;9539;13493;10047;18147;10790;11782
10;Herzogtum Lauenburg – Stormarn-Süd;1;244930;193334;1569;1363;191765;191971;75737;66031;52171;42815;9785;12480;18688;20826;15775;26163;17435;18792
11;Lübeck;1;181638;130961;2228;1167;128733;129794;45432;38263;43578;32919;;12213;16785;16568;8312;14097;11137;11539
1;Schleswig-Holstein;99;2266012;1729194;16172;13553;1713022;1715641;682287;583135;493279;399505;90574;124678;163580;205471;131703;216844;128641;140362

12;Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I;13;216800;157071;1969;1660;155102;155411;49733;51083;34267;28947;26655;25929;5837;6606;7470;9879;24764;25692
13;Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I;13;205876;146768;1930;1657;144838;145111;43453;48841;34705;25029;23433;24409;5858;5521;8290;9008;25262;25688
14;Rostock – Landkreis Rostock II;13;222913;164016;1777;1694;162239;162322;47923;49433;29056;25650;40202;33575;8333;10229;7368;10661;23785;25171
15;Vorpommern-Rügen – Vorpommern-Greifswald I;13;240887;169528;1866;2116;167662;167412;73746;55110;19515;20405;26650;30107;5081;8498;5229;11490;32173;32881
16;Mecklenburgische Seenplatte I – Vorpommern-Greifswald II;13;226039;156965;2337;2152;154628;154813;48269;51789;21493;19064;29462;27246;3898;4068;8909;8659;36273;35595
17;Mecklenburgische Seenplatte II – Landkreis Rostock III;13;212099;144239;1863;1798;142376;142441;53538;51007;22401;20594;24728;24102;4739;4592;6633;8198;26199;27382
13;Mecklenburg-Vorpommern;99;1324614;938587;11742;11077;926845;927510;316662;307263;161437;139689;171130;165368;33746;39514;43899;57895;168456;172409

18;Hamburg-Mitte;2;243543;175731;1716;1438;174015;174293;42149;40909;53795;41551;24083;26109;22368;25164;11202;16255;12728;13940
19;Hamburg-Altona;2;185944;146090;1161;864;144929;145226;37575;36139;41947;29680;19704;22766;20817;26036;12482;16306;7425;8028
20;Hamburg-Eimsbüttel;2;192399;156013;1283;810;154730;155203;44416;41826;48920;34575;16123;19290;23220;26372;10537;17463;8777;9138
21;Hamburg-Nord;2;217226;178760;1397;886;177363;177874;59441;55737;54695;38150;13277;16720;24065;25584;14911;24652;9701;10963
22;Hamburg-Wandsbek;2;235513;172574;1707;1273;170867;171301;50822;49482;59086;45542;15673;16847;12112;17773;12007;17621;16208;16732
23;Hamburg-Bergedorf – Harburg;2;222031;155758;1990;1537;153768;154221;43274;42219;53446;40364;16382;17344;11903;15442;8039;13313;16688;17710
2;Hamburg;99;1296656;984926;9254;6808;975672;978118;277677;266312;311889;229862;105242;119076;114485;136371;69178;105610;71527;76511

24;Aurich – Emden;3;191541;142676;3092;1605;139584;141071;38531;39552;69231;53353;9403;10142;9787;10503;6882;10079;;12877
25;Unterems;3;235234;176342;1553;1390;174789;174952;87406;74173;48959;48194;7726;9459;8255;10258;7758;13629;13387;14620
26;Friesland – Wilhelmshaven – Wittmund;3;189344;139153;1810;1557;137343;137596;44537;45098;54504;42207;8127;9738;7542;9984;8074;12958;11392;12490
27;Oldenburg – Ammerland;3;226253;175967;1797;1286;174170;174681;52598;53417;63235;45514;14081;16351;19827;21821;10635;18136;11592;12625
28;Delmenhorst – Wesermarsch – Oldenburg-Land;3;227696;170194;1966;1375;168228;168819;57390;56526;55326;47622;10262;11567;12933;13525;15208;17076;15122;16392
29;Cuxhaven – Stade II;3;187679;141726;1433;1007;140293;140719;59930;54163;43077;38923;8121;9121;8491;9709;6984;11483;11862;12650
30;Stade I – Rotenburg II;3;197297;153044;1192;849;151852;152195;67463;59229;42829;37361;7994;9564;10613;12511;8797;14538;12590;13513
31;Mittelems;3;230151;179811;1187;959;178624;178852;95815;88310;47107;41983;6813;8167;8900;10803;10089;16181;8949;9701
32;Cloppenburg – Vechta;3;220042;163669;1550;1153;162119;162516;93545;86301;32997;28870;6640;7145;7034;8207;8306;15298;12683;13145
33;Diepholz – Nienburg I;3;193934;148298;1480;1020;146818;147278;65465;55833;40102;37505;7759;8951;11252;11992;10285;15515;11955;12434
34;Osterholz – Verden;3;196136;153036;1268;1238;151768;151798;59560;53035;48505;40047;10714;11055;10146;14052;8273;13464;12995;14675
35;Rotenburg I – Heidekreis;3;168101;127071;974;967;126097;126104;45510;47558;51938;34211;5219;7422;6053;10068;5659;10699;10331;11671
36;Harburg;3;199081;161837;1325;982;160512;160855;65223;57815;44017;35377;8638;10117;14565;16410;10458;18839;14826;16047
