partei_id;Name;Vorname;vote
CDU/CSU;Pahlmann;Ingrid;1
CDU/CSU;Pantel;Sylvia;1
CDU/CSU;Patzelt;Martin;1
CDU/CSU;Pfeiffer;Joachim;1
CDU/CSU;Pilsinger;Stephan;1
CDU/CSU;Ploß;Christoph;1
CDU/CSU;Pols;Eckhard;1
CDU/CSU;Rachel;Thomas;1
CDU/CSU;Radomski;Kerstin;1
CDU/CSU;Radwan;Alexander;1
CDU/CSU;Rainer;Alois;1
CDU/CSU;Ramsauer;Peter;1
CDU/CSU;Rehberg;Eckhardt;1
CDU/CSU;Riebsamen;Lothar;1
CDU/CSU;Rief;Josef;1
CDU/CSU;Röring;Johannes;1
CDU/CSU;Röttgen;Norbert;1
CDU/CSU;Rouenhoff;Stefan;1
CDU/CSU;Rüddel;Erwin;1
CDU/CSU;Rupprecht;Albert;1
CDU/CSU;Sauer;Stefan;1
CDU/CSU;Schäfer;Anita;4
CDU/CSU;Schäuble;Wolfgang;1
CDU/CSU;Scheuer;Andreas;4
CDU/CSU;Schimke;Jana;1
CDU/CSU;Schipanski;Tankred;1
CDU/CSU;Schmidt;Christian;4
CDU/CSU;Schmidtke;Claudia;1
CDU/CSU;Schnieder;Patrick;1
CDU/CSU;Schön;Nadine;1
CDU/CSU;Schreiner;Felix;4
CDU/CSU;Schulze;Klaus-Peter;1
CDU/CSU;Schummer;Uwe;1
CDU/CSU;Schuster;Armin;1
CDU/CSU;Schweiger;Torsten;1
CDU/CSU;Seif;Detlef;1
CDU/CSU;Selle;Johannes;1
CDU/CSU;Sendker;Reinhold;1
CDU/CSU;Sensburg;Patrick;1
CDU/CSU;Silberhorn;Thomas;1
CDU/CSU;Simon;Björn;1
CDU/CSU;Sorge;Tino;1
CDU/CSU;Spahn;Jens;1
CDU/CSU;Staffler;Katrin;1
CDU/CSU;Steffel;Frank;1
CDU/CSU;Stefinger;Wolfgang;1
CDU/CSU;Stegemann;Albert;1
CDU/CSU;Steier;Andreas;1
CDU/CSU;Stein;Peter;4
CDU/CSU;Steineke;Sebastian;1
CDU/CSU;Steiniger;Johannes;1
CDU/CSU;Stetten;Christian;1
CDU/CSU;Stier;Dieter;1
CDU/CSU;Storjohann;Gero;1
CDU/CSU;Stracke;Stephan;1
CDU/CSU;Straubinger;Max;1
CDU/CSU;Strenz;Karin;1
CDU/CSU;Tauber;Peter;1
CDU/CSU;Tebroke;Hermann-Josef;1
CDU/CSU;Thies;Hans-Jürgen;1
CDU/CSU;Throm;Alexander;1
CDU/CSU;Tiemann;Dietlind;1
CDU/CSU;Tillmann;Antje;1
CDU/CSU;Uhl;Markus;1
CDU/CSU;Ullrich;Volker;1
CDU/CSU;Vaatz;Arnold;1
CDU/CSU;Veith;Oswin;1
CDU/CSU;Vieregge;Kerstin;1
CDU/CSU;Vogel;Volkmar;1
CDU/CSU;Vries;Christoph;1
CDU/CSU;Vries;Kees;1
